frame_index,cb_ms,underrun,block_size
0,0.0172,0,256
256,0.0141,0,256
512,0.0140,0,256
768,0.0140,0,256
1024,0.0140,0,256
1280,0.0140,0,256
1536,0.0140,0,256
1792,0.0140,0,256
2048,0.0140,0,256
2304,0.0140,0,256
2560,0.0140,0,256
2816,0.0140,0,256
3072,0.0140,0,256
3328,0.0140,0,256
3584,0.0140,0,256
3840,0.0140,0,256
4096,0.0140,0,256
4352,0.0140,0,256
4608,0.0139,0,256
4864,0.0140,0,256
5120,0.0140,0,256
5376,0.0140,0,256
5632,0.0139,0,256
5888,0.0140,0,256
6144,0.0140,0,256
6400,0.0140,0,256
6656,0.0140,0,256
6912,0.0141,0,256
7168,0.0139,0,256
7424,0.0140,0,256
7680,0.0140,0,256
7936,0.0141,0,256
8192,0.0139,0,256
8448,0.0140,0,256
8704,0.0140,0,256
8960,0.0141,0,256
9216,0.0141,0,256
9472,0.0140,0,256
9728,0.0141,0,256
9984,0.0141,0,256
10240,0.0140,0,256
10496,0.0140,0,256
10752,0.0141,0,256
11008,0.0141,0,256
11264,0.0154,0,256
11520,0.0141,0,256
11776,0.0140,0,256
12032,0.0142,0,256
12288,0.0140,0,256
12544,0.0141,0,256
12800,0.0139,0,256
13056,0.0140,0,256
13312,0.0140,0,256
13568,0.0141,0,256
13824,0.0140,0,256
14080,0.0141,0,256
14336,0.0140,0,256
14592,0.0141,0,256
14848,0.0140,0,256
15104,0.0140,0,256
15360,0.0141,0,256
15616,0.0141,0,256
15872,0.0140,0,256
16128,0.0140,0,256
16384,0.0140,0,256
16640,0.0140,0,256
16896,0.0140,0,256
17152,0.0140,0,256
17408,0.0140,0,256
17664,0.0140,0,256
17920,0.0140,0,256
18176,0.0139,0,256
18432,0.0140,0,256
18688,0.0140,0,256
18944,0.0139,0,256
19200,0.0140,0,256
19456,0.0140,0,256
19712,0.0140,0,256
19968,0.0140,0,256
20224,0.0140,0,256
20480,0.0142,0,256
20736,0.0139,0,256
20992,0.0140,0,256
21248,0.0140,0,256
21504,0.0140,0,256
21760,0.0141,0,256
22016,0.0140,0,256
22272,0.0140,0,256
22528,0.0139,0,256
22784,0.0139,0,256
23040,0.0141,0,256
23296,0.0140,0,256
23552,0.0139,0,256
23808,0.0140,0,256
24064,0.0140,0,256
24320,0.0140,0,256
24576,0.0141,0,256
24832,0.0139,0,256
25088,0.0139,0,256
25344,0.0140,0,256
25600,0.0140,0,256
25856,0.0139,0,256
26112,0.0140,0,256
26368,0.0139,0,256
26624,0.0140,0,256
26880,0.0140,0,256
27136,0.0140,0,256
27392,0.0140,0,256
27648,0.0140,0,256
27904,0.0140,0,256
28160,0.0141,0,256
28416,0.0140,0,256
28672,0.0140,0,256
28928,0.0140,0,256
29184,0.0139,0,256
29440,0.0140,0,256
29696,0.0141,0,256
29952,0.0142,0,256
30208,0.0140,0,256
30464,0.0140,0,256
30720,0.0141,0,256
30976,0.0140,0,256
31232,0.0140,0,256
31488,0.0140,0,256
31744,0.0140,0,256
32000,0.0140,0,256
32256,0.0140,0,256
32512,0.0140,0,256
32768,0.0141,0,256
33024,0.0139,0,256
33280,0.0140,0,256
33536,0.0140,0,256
33792,0.0141,0,256
34048,0.0140,0,256
34304,0.0141,0,256
34560,0.0140,0,256
34816,0.0140,0,256
35072,0.0139,0,256
35328,0.0140,0,256
35584,0.0140,0,256
35840,0.0141,0,256
36096,0.0141,0,256
36352,0.0140,0,256
36608,0.0141,0,256
36864,0.0140,0,256
